name,address,latitude,longitude,date,start_time,end_time,hours,rating,website,types,price,featured,sold_out
"Primavera Sound Sl","Carrer de Ramon Turró, 153, Sant Martí, 08005 Barcelona, Spain","41.3978665","2.2000084","","","","","3.7","","establishment, point_of_interest","","false","false"
"Sónar by night","Av. Joan Carles I, 64, 08908 L'Hospitalet de Llobregat, Barcelona, Spain","41.3548438","2.1281364","","","","","4.1","","establishment, point_of_interest","","false","false"
"Festival Cruïlla","Carrer de Pujades, 77 2n, 7a, Sant Martí, 08005 Barcelona, Spain","41.3971172","2.1940061","","","","Monday: 10:00 AM – 6:00 PM | Tuesday: 10:00 AM – 6:00 PM | Wednesday: 10:00 AM – 6:00 PM | Thursday: 10:00 AM – 6:00 PM | Friday: 10:00 AM – 6:00 PM | Saturday: Closed | Sunday: Closed","4.2","http://www.cruillabarcelona.cat/","establishment, point_of_interest","","false","false"
"Teatre Grec","Passeig de Santa Madrona, s/n, Sants-Montjuïc, 08038 Barcelona, Spain","41.3695069","2.1597372","","","","","4.6","http://lameva.barcelona.cat/grec/es/","establishment, point_of_interest","","false","false"
"Barcelona Rock fest","Passeig de Can Zam, 08924 Santa Coloma de Gramenet, Barcelona, Spain","41.4546056","2.1993021","","","","Monday: Closed | Tuesday: Closed | Wednesday: Closed | Thursday: 4:00 PM – 1:00 AM | Friday: 1:00 PM – 3:30 AM | Saturday: 1:00 PM – 3:45 AM | Sunday: 1:00 PM – 4:30 AM","4.5","https://www.barcelonarockfest.com/","establishment, point_of_interest","","false","false"
"Skate Love Music Festival","Av. del Litoral, 86-96, Sant Martí, 08005 Barcelona, Spain","41.4007273","2.212396","","","","","4.6","https://www.skatelovebcn.com/","establishment, point_of_interest","","false","false"
"Parc del Fòrum","Carrer de la Pau, 12, 08930 Sant Adrià de Besòs, Barcelona, Spain","41.4114594","2.2246577","","","","Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours","4.4","https://www.parcdelforum.cat/","establishment, park, point_of_interest, tourist_attraction","","false","false"
"Can Simon","Av. del Rectoret, 15, Sarrià-Sant Gervasi, 08017 Barcelona, Spain","41.426607","2.0927057","","","","","4.8","https://www.facebook.com/Can-Simon-207214269674326/","establishment, point_of_interest","","false","false"
"Live Nation Catalunya, S.A.U.","Pg. de St. Joan, 104, Eixample, 08037 Barcelona, Spain","41.3997007","2.1696872","","","","Monday: 9:00 AM – 2:00 PM, 3:00 – 6:00 PM | Tuesday: 9:00 AM – 2:00 PM, 3:00 – 6:00 PM | Wednesday: 9:00 AM – 2:00 PM, 3:00 – 6:00 PM | Thursday: 9:00 AM – 2:00 PM, 3:00 – 6:00 PM | Friday: 9:00 AM – 2:30 PM | Saturday: Closed | Sunday: Closed","1.8","https://www.livenation.es/","establishment, point_of_interest","","false","false"
"MIRA Festival","Carrer de Lleida, 22, Sants-Montjuïc, 08004 Barcelona, Spain","41.3728192","2.1508216","","","","","3.3","https://mirafestival.com/","establishment, point_of_interest","","false","false"
